host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason,telemetry_protocol,udp_source,telemetry_status_flags,raw_frame_hex,udp_datagram_count,udp_byte_count,parser_dropped_bytes,parser_crc_errors,parser_decode_errors
2026-08-11T08:32:42.652820+00:00,1224558.120540248,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47227,1157631,,,,,,,,,,,,"[0.6301800012588501,-0.030396975576877594,-0.0264629814773798,0.7754024267196655]","[-0.049532026052474976,0.010478345677256584,0.04544474557042122]","[-0.1415880024433136,-0.7967289686203003,9.749037742614746]",,,0.225801185,2212.85181,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a010154007bb8ffa911007a53213f1403f9bce5c8d8bcc680463f18e24abd5ead2b3c45243a3d72fc10be6ef64bbf0ffc1b416d38673ea14d0a45030100a000000000000000000000000000000000000000000000000000000000000000000fea,144,7056,0,0,0
2026-08-11T08:32:42.662528+00:00,1224558.130266749,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47228,1157641,,,,,,,,,,,,"[0.629994809627533,-0.030595965683460236,-0.02660697139799595,0.7755401730537415]","[-0.046485695987939835,0.010450961999595165,0.044851768761873245]","[-0.15342499315738678,-0.7847570180892944,9.741528511047363]",,,0.225801185,2212.85181,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a010154007cb809aa11005747213f64a4fabcddf6d9bccd89463fc9673ebd833a2b3c7db6373d711b1dbed6e548bf4ddd1b416d38673ea14d0a45030100a00000000000000000000000000000000000000000000000000000000000000000c383,146,7154,0,0,0
2026-08-11T08:32:42.674700+00:00,1224558.142392614,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47229,1157651,,,,,,,,,,,,"[0.6298117637634277,-0.030790966004133224,-0.02674896828830242,0.7756761908531189]","[-0.04587479680776596,0.010431606322526932,0.04363255202770233]","[-0.1581909954547882,-0.7724509835243225,9.758085250854492]",,,0.224599808,2201.07812,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a010154007db813aa1100583b213f563dfcbca720dbbcb792463f36e73bbd54e92a3c0cb8323dd2fc21be59bf45bf1e211c417efd653e40910945030100a000000000000000000000000000000000000000000000000000000000000000002995,148,7252,0,0,0
2026-08-11T08:32:42.682369+00:00,1224558.149695905,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47230,1157661,,,,,,,,,,,,"[0.629632830619812,-0.030973980203270912,-0.026885978877544403,0.7758094668388367]","[-0.04344462975859642,0.009594372473657131,0.04447734355926514]","[-0.162321999669075,-0.7865229845046997,9.780632972717285]",,,0.224599808,2201.07812,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a010154007eb81daa11009e2f213f25bdfdbcfc3fdcbc739b463ffff231bdb7311d3ce02d363dbd3726be925949bf797d1c417efd653e40910945030100a000000000000000000000000000000000000000000000000000000000000000001c53,150,7350,0,0,0
2026-08-11T08:32:42.692862+00:00,1224558.160461260,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47231,1157671,,,,,,,,,,,,"[0.6294502019882202,-0.031149987131357193,-0.02699998952448368,0.7759466171264648]","[-0.03855828940868378,0.01163207832723856,0.043654754757881165]","[-0.16083499789237976,-0.8033069968223572,9.784895896911621]",,,0.224599808,2201.07812,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a010154007fb827aa1100a623213f422effbc152fddbc70a4463f4cef1dbd79943e3c54cf323deeb124be87a54dbfef8e1c417efd653e40910945030100a0000000000000000000000000000000000000000000000000000000000000000015a0,152,7448,0,0,0
2026-08-11T08:32:42.702079+00:00,1224558.169736559,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47232,1157681,,,,,,,,,,,,"[0.6292718648910522,-0.03132098168134689,-0.027111979201436043,0.7760804891586304]","[-0.040391214191913605,0.01038078311830759,0.04244289919734001]","[-0.16333499550819397,-0.824944019317627,9.785185813903809]",,,0.224599808,2201.07812,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a0101540080b831aa1100f617213f6e4a00bdf119debc36ad463f427125bd29142a3c9bd82d3d4a4127be882f53bf1f901c417efd653e40910945030100a00000000000000000000000000000000000000000000000000000000000000000d632,154,7546,0,0,0
2026-08-11T08:32:42.712896+00:00,1224558.180514391,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47233,1157691,,,,,,,,,,,,"[0.6290982365608215,-0.031480975449085236,-0.027209974825382233,0.7762112617492676]","[-0.03491225838661194,0.009713822044432163,0.04187573865056038]","[-0.14658400416374207,-0.817878007888794,9.780476570129395]",,,0.224599808,2201.07812,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a0101540081b83baa1100950c213f32f200bd74e7debcc8b5463f28000fbdb9261f3ce5852b3d1e1a16be746051bfd57c1c417efd653e40910945030100a000000000000000000000000000000000000000000000000000000000000000007699,156,7644,0,0,0
2026-08-11T08:32:42.722261+00:00,1224558.189857499,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47234,1157701,,,,,,,,,,,,"[0.6289230585098267,-0.03163699060678482,-0.027301989495754242,0.7763437628746033]","[-0.03612014651298523,0.011600924655795097,0.04244663566350937]","[-0.15373100340366364,-0.8178820013999939,9.777995109558105]",,,0.223381698,2189.14087,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a0101540082b845aa11001a01213fca9501bd6ca8dfbc77be463fb8f213bdce113e3c86dc2d3da96b1dbeb76051bfab721c412cbe643e41d20845030100a00000000000000000000000000000000000000000000000000000000000000000769f,158,7742,0,0,0
2026-08-11T08:32:42.732886+00:00,1224558.200490890,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47235,1157711,,,,,,,,,,,,"[0.6287485361099243,-0.03178699314594269,-0.027387993410229683,0.7764758467674255]","[-0.031262390315532684,0.009074106812477112,0.04252040758728981]","[-0.16308000683784485,-0.7866780161857605,9.770232200622559]",,,0.223381698,2189.14087,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a0101540083b84faa1100aaf5203f143302bdc95ce0bc1fc7463ffe0c00bd90ab143ce1292e3d72fe26bebb6349bfdf521c412cbe643e41d20845030100a000000000000000000000000000000000000000000000000000000000000000005a4a,160,7840,0,0,0
2026-08-11T08:32:42.743009+00:00,1224558.210643060,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47236,1157721,,,,,,,,,,,,"[0.6285808086395264,-0.03192396089434624,-0.027469970285892487,0.7766031622886658]","[-0.029431505128741264,0.009031450375914574,0.040085677057504654]","[-0.16787199676036835,-0.7791829705238342,9.786858558654785]",,,0.223381698,2189.14087,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a0101540084b859aa1100acea203fb3c202bdb408e1bc77cf463f571af1bca6f8133ce130243da3e62bbe897847bff9961c412cbe643e41d20845030100a00000000000000000000000000000000000000000000000000000000000000000c294,162,7938,0,0,0
2026-08-11T08:32:42.752323+00:00,1224558.219913100,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47237,1157731,,,,,,,,,,,,"[0.628415048122406,-0.03205398842692375,-0.027533991262316704,0.7767297029495239]","[-0.02636740542948246,0.012130998075008392,0.04004884883761406]","[-0.17753499746322632,-0.790910005569458,9.80371379852295]",,,0.223381698,2189.14087,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a0101540085b863aa1100cfdf203f0b4b03bdf78ee1bcc2d7463f7500d8bc18c1463c430a243dbccb35be14794abf03dc1c412cbe643e41d20845030100a00000000000000000000000000000000000000000000000000000000000000000a2e9,164,8036,0,0,0
2026-08-11T08:32:42.762219+00:00,1224558.229810228,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47238,1157741,,,,,,,,,,,,"[0.6282544136047363,-0.03218097984790802,-0.027583982795476913,0.7768526077270508]","[-0.024535508826375008,0.012735319323837757,0.0394374243915081]","[-0.1728760004043579,-0.8101379871368408,9.80644702911377]",,,0.223381698,2189.14087,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a0101540086b86daa110048d5203f34d003bdcef7e1bcd0df463fb1fec8bccda7503c2389213d680631be34654fbf35e71c412cbe643e41d20845030100a00000000000000000000000000000000000000000000000000000000000000000df3c,166,8134,0,0,0
2026-08-11T08:32:42.774808+00:00,1224558.242401391,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47239,1157751,,,,,,,,,,,,"[0.6280930042266846,-0.0323069728910923,-0.027625979855656624,0.7769764065742493]","[-0.023114006966352463,0.012723572552204132,0.039242230355739594]","[-0.16101199388504028,-0.8296070098876953,9.795677185058594]",,,0.222202644,2177.58594,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a0101540087b877aa1100b4ca203f515404bde14fe2bcede7463f9659bdbc8876503c76bc203d54e024be206154bf18bb1c411789633e60190845030100a00000000000000000000000000000000000000000000000000000000000000000a980,168,8232,0,0,0
2026-08-11T08:32:42.782072+00:00,1224558.249756518,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47240,1157761,,,,,,,,,,,,"[0.6279287934303284,-0.03242599219083786,-0.027662992477416992,0.7771027684211731]","[-0.022712895646691322,0.012107384391129017,0.040071018040180206]","[-0.16092899441719055,-0.8275070190429688,9.775656700134277]",,,0.222202644,2177.58594,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a0101540088b881aa1100f1bf203f1ed104bd809de2bc35f0463f6510babc0d5e463c8221243d92ca24be80d753bf17691c411789633e60190845030100a0000000000000000000000000000000000000000000000000000000000000000045c8,170,8330,0,0,0
2026-08-11T08:32:42.792005+00:00,1224558.259719629,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47241,1157771,,,,,,,,,,,,"[0.627766489982605,-0.03253797069191933,-0.02769097127020359,0.7772282361984253]","[-0.019058367237448692,0.012083787471055984,0.04009316489100456]","[-0.16793499886989594,-0.820734977722168,9.744290351867676]",,,0.222202644,2177.58594,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a0101540089b88baa11004eb5203f894605bd2dd8e2bc6ef8463f4b209cbc14fb453cbb38243d27f72bbeb01b52bf9de81b411789633e60190845030100a00000000000000000000000000000000000000000000000000000000000000000ac9b,172,8428,0,0,0
2026-08-11T08:32:42.802093+00:00,1224558.269711299,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47242,1157781,,,,,,,,,,,,"[0.6276033520698547,-0.03264698386192322,-0.02771298587322235,0.7773546576499939]","[-0.016008300706744194,0.012680253945291042,0.03948912024497986]","[-0.17024800181388855,-0.8136550188064575,9.734563827514648]",,,0.222202644,2177.58594,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a010154008ab895aa11009daa203fd8b805bd5806e3bcb700473fd72383bcd7c04f3c58bf213d7e552ebeb24b50bfc6c01b411789633e60190845030100a00000000000000000000000000000000000000000000000000000000000000000385c,174,8526,0,0,0
2026-08-11T08:32:42.812218+00:00,1224558.279845295,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47243,1157791,,,,,,,,,,,,"[0.6274446845054626,-0.03274596482515335,-0.02772296965122223,0.7774781584739685]","[-0.01336801890283823,0.012655488215386868,0.0388936884701252]","[-0.17660200595855713,-0.8013539910316467,9.7503023147583]",,,0.220910385,2164.92188,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a010154008bb89faa110037a0203fa22006bd481be3bccf08473f89055bbcf7584f3cfd4e1f3d28d734be89254dbf3d011c415536623ec04e0745030100a00000000000000000000000000000000000000000000000000000000000000000b347,176,8624,0,0,0
2026-08-11T08:32:42.822199+00:00,1224558.289804050,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47244,1157801,,,,,,,,,,,,"[0.6272890567779541,-0.03284398466348648,-0.027720991522073746,0.7775997519493103]","[-0.012952577322721481,0.014539814554154873,0.040085870772600174]","[-0.17511199414730072,-0.8132290244102478,9.760889053344727]",,,0.220910385,2164.92188,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a010154008cb8a9aa11000496203f6a8706bd2217e3bcc710473f0c3754bc67386e3c1531243d8f5033bec72f50bf9a2c1c415536623ec04e0745030100a00000000000000000000000000000000000000000000000000000000000000000cdc2,178,8722,0,0,0
2026-08-11T08:32:42.832313+00:00,1224558.299887927,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47245,1157811,,,,,,,,,,,,"[0.6271270513534546,-0.03294097259640694,-0.027716975659132004,0.777726411819458]","[-0.00991460494697094,0.013272462412714958,0.04012644663453102]","[-0.17518000304698944,-0.8375399708747864,9.744455337524414]",,,0.220910385,2164.92188,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a010154008db8b3aa1100668b203f1ded06bdb60ee3bc1419473fde7022bcbe74593ca15b243d636233be056956bf4ae91b415536623ec04e0745030100a00000000000000000000000000000000000000000000000000000000000000000a71f,180,8820,0,0,0
2026-08-11T08:32:42.845719+00:00,1224558.313299268,camera_experiment_passive_observation,0,"[0.0,0.0,0.0,0.0]",0,1,0,1,0.000000,47246,1157821,,,,,,,,,,,,"[0.6269712448120117,-0.033018965274095535,-0.027699971571564674,0.7778492569923401]","[-0.005651114508509636,0.012590248137712479,0.037717562168836594]","[-0.1632930040359497,-0.8448110222816467,9.744698524475098]",,,0.220910385,2164.92188,,,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",,0,1,0,,,,,,,,,,,,,,,,,,,,,,finsim_v1_passive,192.168.0.2:49920,2684354819,a55a010154008eb8bdaa11003081203fe53e07bd0debe2bc2121473ffc2cb9bb54474e3cbb7d1a3d483627be894558bf49ea1b415536623ec04e0745030100a00000000000000000000000000000000000000000000000000000000000000000f9a2,182,8918,0,0,0
