host_time_utc,host_monotonic_s,gst_pts_s,frame_index,image_width_px,image_height_px,left_stem_x_px,left_stem_y_px,left_stem_width_px,left_stem_height_px,left_stem_area_px,right_stem_x_px,right_stem_y_px,right_stem_width_px,right_stem_height_px,right_stem_area_px
2026-08-12T12:00:28.459984+00:00,8803.737633028,4.446089764,52,1280,480,285.472961,237.043080,30,139,2182,nan,nan,0,0,0
2026-08-12T12:00:28.486022+00:00,8803.764279105,4.478099991,53,1280,480,285.626189,237.280924,29,139,2207,nan,nan,0,0,0
2026-08-12T12:00:28.525349+00:00,8803.799931405,4.514088003,54,1280,480,286.034560,237.769749,30,138,2228,nan,nan,0,0,0
2026-08-12T12:00:28.554027+00:00,8803.831772540,4.546087133,55,1280,480,286.351598,237.819635,30,138,2190,nan,nan,0,0,0
2026-08-12T12:00:28.597536+00:00,8803.872644824,4.582075159,56,1280,480,286.625792,237.533032,30,138,2210,nan,nan,0,0,0
2026-08-12T12:00:28.624939+00:00,8803.902351074,4.614107636,57,1280,480,286.986972,237.893980,30,138,2226,nan,nan,0,0,0
2026-08-12T12:00:28.658124+00:00,8803.932471489,4.646084564,58,1280,480,287.348816,237.961293,30,138,2196,nan,nan,0,0,0
2026-08-12T12:00:28.699010+00:00,8803.973627820,4.682083721,59,1280,480,287.593013,237.102541,29,139,2204,nan,nan,0,0,0
2026-08-12T12:00:28.728947+00:00,8804.007369799,4.714105107,60,1280,480,287.934359,237.289271,29,141,2209,nan,nan,0,0,0
2026-08-12T12:00:28.761019+00:00,8804.038806061,4.750084391,61,1280,480,288.198002,236.843778,30,138,2202,nan,nan,0,0,0
2026-08-12T12:00:28.801064+00:00,8804.075337879,4.782085885,62,1280,480,288.380410,236.822323,29,138,2195,nan,nan,0,0,0
2026-08-12T12:00:28.826949+00:00,8804.104183500,4.818087367,63,1280,480,288.611786,236.005398,29,139,2223,nan,nan,0,0,0
2026-08-12T12:00:28.859183+00:00,8804.136764406,4.850088837,64,1280,480,288.824451,235.978056,29,139,2233,nan,nan,0,0,0
2026-08-12T12:00:28.902876+00:00,8804.177305962,4.886090296,65,1280,480,289.087767,236.060027,30,138,2199,nan,nan,0,0,0
2026-08-12T12:00:28.930467+00:00,8804.208489899,4.918091743,66,1280,480,289.292350,236.116120,30,138,2196,nan,nan,0,0,0
2026-08-12T12:00:28.960474+00:00,8804.236481176,4.950104289,67,1280,480,289.403549,236.185168,30,138,2198,nan,nan,0,0,0
2026-08-12T12:00:28.995707+00:00,8804.270931110,4.986094602,68,1280,480,289.518756,236.091491,29,139,2186,nan,nan,0,0,0
2026-08-12T12:00:29.026977+00:00,8804.303016928,5.018107125,69,1280,480,289.552668,236.325125,30,139,2193,nan,nan,0,0,0
2026-08-12T12:00:29.066820+00:00,8804.342447418,5.054097415,70,1280,480,289.573442,236.822647,29,138,2199,nan,nan,0,0,0
2026-08-12T12:00:29.097048+00:00,8804.371414827,5.086109916,71,1280,480,289.569350,236.952251,30,138,2199,nan,nan,0,0,0
2026-08-12T12:00:29.136433+00:00,8804.410323993,5.122089073,72,1280,480,289.599544,237.138041,30,138,2195,nan,nan,0,0,0
2026-08-12T12:00:29.164167+00:00,8804.441598013,5.154101552,73,1280,480,289.560440,237.151557,30,139,2184,nan,nan,0,0,0
