host_time_utc,host_monotonic_s,gst_pts_s,frame_index,image_width_px,image_height_px,left_stem_x_px,left_stem_y_px,left_stem_width_px,left_stem_height_px,left_stem_area_px,right_stem_x_px,right_stem_y_px,right_stem_width_px,right_stem_height_px,right_stem_area_px
2026-08-12T13:29:13.906645+00:00,14129.186054795,1.558727110,39,1280,480,219.829497,222.739983,33,139,2346,nan,nan,0,0,0
2026-08-12T13:29:13.947520+00:00,14129.221625790,1.590749331,40,1280,480,219.895976,222.111301,33,138,2336,nan,nan,0,0,0
2026-08-12T13:29:13.978580+00:00,14129.254707977,1.626738219,41,1280,480,219.884319,221.671380,33,138,2334,nan,nan,0,0,0
2026-08-12T13:29:14.010558+00:00,14129.288988629,1.658749330,42,1280,480,219.877577,221.051117,33,139,2328,nan,nan,0,0,0
2026-08-12T13:29:14.044030+00:00,14129.321483875,1.694738219,43,1280,480,219.832976,220.702447,33,138,2329,nan,nan,0,0,0
2026-08-12T13:29:14.077445+00:00,14129.355034131,1.726738219,44,1280,480,219.798715,220.987580,32,139,2335,nan,nan,0,0,0
2026-08-12T13:29:14.122488+00:00,14129.397454473,1.762738219,45,1280,480,219.650780,221.020666,32,139,2371,nan,nan,0,0,0
2026-08-12T13:29:14.146170+00:00,14129.424486287,1.794727108,46,1280,480,219.639006,221.021061,32,139,2374,nan,nan,0,0,0
2026-08-12T13:29:14.183338+00:00,14129.457583087,1.830727108,47,1280,480,219.491783,221.008428,33,139,2373,nan,nan,0,0,0
2026-08-12T13:29:14.214328+00:00,14129.489202724,1.862738219,48,1280,480,219.621053,221.020211,33,139,2375,nan,nan,0,0,0
2026-08-12T13:29:14.245847+00:00,14129.520765803,1.894749330,49,1280,480,219.638783,221.101817,33,139,2367,nan,nan,0,0,0
2026-08-12T13:29:14.281786+00:00,14129.560028015,1.930738219,50,1280,480,219.701562,221.744196,31,140,2369,nan,nan,0,0,0
2026-08-12T13:29:14.310122+00:00,14129.588179730,1.962760441,51,1280,480,219.766990,221.449557,33,139,2369,nan,nan,0,0,0
2026-08-12T13:29:14.348979+00:00,14129.625924622,1.998727108,52,1280,480,219.836924,221.655260,33,139,2367,nan,nan,0,0,0
2026-08-12T13:29:14.377637+00:00,14129.655796288,2.030738218,53,1280,480,219.892767,221.809083,33,139,2378,nan,nan,0,0,0
2026-08-12T13:29:14.418813+00:00,14129.694084711,2.066727107,54,1280,480,219.945125,221.804137,33,139,2369,nan,nan,0,0,0
