time_s,depth_m,depth_ref_m,heave_velocity_m_s,heave_rate_ref_m_s,heave_force_n,heave_disturbance_n,yaw_rad,yaw_ref_rad,yaw_rate_rad_s,yaw_rate_ref_rad_s,yaw_moment_nm,yaw_disturbance_nm,heave_sliding,yaw_sliding
35.15,1.4997949031518787,1.5,0.003392098735471409,0.001061039132957483,-1.369373336611442,1.3931656594793562,1.0477278646629058,1.0471975511965976,-0.0008436513731200793,-0.0004898497755243438,0.022221531061139003,-0.029030304999063807,-0.002331059602513926,0.0003538015975957354
35.160000000000004,1.4998288270076103,1.5,0.003392672230597302,0.0010350098719586669,-1.384320812937791,1.4077574350768252,1.0477192829893056,1.0471975511965976,-0.0008726818536026814,-0.0004951913665399087,0.023952724229926368,-0.030612414248211896,-0.0023576623586386352,0.0003774904870627727
35.17,1.4998627560846458,1.5,0.003393143028532629,0.0010089492327649044,-1.399226428423311,1.4223066261192128,1.047710414262223,1.0471975511965976,-0.0009010621016215633,-0.0004999062134604426,0.02567971290496932,-0.032192564313296416,-0.0023841937957677244,0.00040115588816112065
35.18,1.499896689355947,1.5,0.0033935111160209447,0.0009828580046974064,-1.4140897322251165,1.4368127924946186,1.0477012649347266,1.0471975511965976,-0.0009288019681354721,-0.0005040056882738904,0.027402429157805514,-0.03377065406525325,-0.0024106531113235385,0.0004247962798615817
35.19,1.4999306257943588,1.5,0.0033937764829001784,0.0009567369779900873,-1.4289102747765847,1.451275495392625,1.0476918413621004,1.0471975511965976,-0.0009559111587760908,-0.000507501016099286,0.02912080488817657,-0.03534658250687694,-0.0024370395049100914,0.00044841014267680483
35.2,1.4999645643726394,1.5,0.0033939391221030867,0.0009305869437657939,-1.4436876078010121,1.465694297317563,1.0476821498032933,1.0471975511965976,-0.0009823992351767705,-0.0005104032764127268,0.03083477182613263,-0.03692024877928583,-0.0024633521783372927,0.00047199595876404375
35.21,1.4999985040634922,1.5,0.0033939990296575923,0.0009044086940125124,-1.4584212843251452,1.4800687621017647,1.0476721964223508,1.0471975511965976,-0.0010082756163203937,-0.0005127234042926455,0.032544261534493704,-0.03849155216837423,-0.00248959033564508,0.0004955522120277482
35.22,1.5000324438395967,1.5,0.0033939562046870434,0.0008782030215595403,-1.4731108586927326,1.494398454918785,1.0476619872898354,1.0471975511965976,-0.001033549579904749,-0.0005144721916831191,0.034249205411561706,-0.04006039211126228,-0.002515753183127503,0.0005190773882216298
35.230000000000004,1.5000663826736385,1.5,0.003393810649410376,0.0008519707200536438,-1.4877558865779708,1.5086829422964994,1.0476515283842316,1.0471975511965976,-0.0010582302637242988,-0.0005156602886737152,0.03594953469416518,-0.04162666820272982,-0.002541839929356732,0.0005425699750505836
35.24,1.500100319538341,1.5,0.0033935623691421783,0.0008257125839351816,-1.502355924998972,1.5229217921302447,1.047640825593338,1.0471975511965976,-0.0010823266670668126,-0.0005162982047946829,0.037645180460942326,-0.04319028020164023,-0.0025678497852069967,0.0005660284622721296
35.25,1.5001342534064965,1.5,0.003393211372292662,0.0007994294084142106,-1.5169105323311391,1.5371145736959182,1.047629884715647,1.0471975511965976,-0.0011058476521237709,-0.0005163963103262609,0.039336073635880806,-0.04475112803735998,-0.0025937819638784517,0.00058945134179751
35.26,1.5001681832509968,1.5,0.0033927576703675537,0.0007731219894465492,-1.5314192683206098,1.5512608576629412,1.0476187114617073,1.0471975511965976,-0.0011288019454133902,-0.0005159648376207536,0.04102214499215458,-0.046309111816159675,-0.0026196356809210044,0.0006128371077926366
35.27,1.500202108044864,1.5,0.0033922012779678493,0.0007467911237098392,-1.5458816940974796,1.5653602161073201,1.0476073114554723,1.0471975511965976,-0.0011511981392148868,-0.0005150138824362498,0.04270332515619033,-0.04786413182761201,-0.00264541015425801,0.000636184256778637
35.28,1.500236026761282,1.5,0.003391542212789526,0.0007204376085795714,-1.5602973721891433,1.579412222524529,1.0475956902356378,1.0471975511965976,-0.001173044693012955,-0.00051355340528094,0.044379544611944835,-0.04941608855096359,-0.0026711046042099547,0.000659491287732015
35.29,1.5002699383736269,1.5,0.0033907804956231215,0.0006940622421050967,-1.5746658665335003,1.5934164518424359,1.0475838532569615,1.0471975511965976,-0.001194349934951416,-0.0005115932327668252,0.04605073370544339,-0.05096488266151455,-0.002696718253518025,0.0006827567021845907
35.300000000000004,1.5003038418554984,1.5,0.0033899161503532366,0.0006676658229856064,-1.5889867424921849,1.6073724804341893,1.047571805891569,1.0471975511965976,-0.0012151220632949252,-0.0005091430589718196,0.04771682264952202,-0.05251041503697321,-0.0027222503273676302,0.0007059790043231056
35.31,1.5003377361807504,1.5,0.003388949203957941,0.0006412491505460993,-1.6032595668636995,1.62127988613098,1.0475595534302453,1.0471975511965976,-0.0012353691478977336,-0.0005062124468091681,0.04937774152879869,-0.054052586763791634,-0.0027477000534118414,0.0007291567010885655
35.32,1.500371620323522,1.5,0.0033878796865080755,0.00061481302471333,-1.6174839078965118,1.6351382482348376,1.04754710108371,1.0471975511965976,-0.0012550991316784149,-0.0005028108294032216,0.051033420304835805,-0.05559129914350641,-0.0027730666617947456,0.0007522883022751933
35.33,1.5004054932582684,1.5,0.003386707631166471,0.000588358245991734,-1.6316593353021385,1.6489471475313733,1.047534453983884,1.0471975511965976,-0.0012743198320997369,-0.0004989475114708194,0.052683788821441695,-0.05712645369905181,-0.002798349385174737,0.0007753723206289175
35.34,1.5004393539597922,1.5,0.003385433074187073,0.0005618856154393311,-1.6457854202681879,1.6627061663024547,1.0475216171851311,1.0471975511965976,-0.0012930389426529438,-0.0004946316707069736,0.05432877681027871,-0.05865795218106095,-0.0028235474587477417,0.0007984072719459702
35.35,1.5004732014032738,1.5,0.0033840560549139626,0.0005353959346436161,-1.6598617354713163,1.6764148883387777,1.0475085956654926,1.0471975511965976,-0.0013112640343450584,-0.0004898723591742673,0.055968313896557084,-0.06018569657415034,-0.0028486601202703465,0.0008213916751707911
35.36,1.5005070345643023,1.5,0.0033825766157802744,0.0005088900056974339,-1.6738878550901481,1.6900728989525637,1.047495394327906,1.0471975511965976,-0.0013290025571887469,-0.00048467850469515296,0.05760232960489156,-0.061709589103203004,-0.0028736866100828404,0.0008443240524935939
35.37,1.5005408524189072,1.5,0.003380994802307052,0.0004823686311748279,-1.6878633548182174,1.7036797849900422,1.0474820180014053,1.0471975511965976,-0.0013462618416940238,-0.00047905891224611847,0.0592307533653925,-0.06322953223961655,-0.002898626171132224,0.0008672029294479053
35.38,1.500574653943588,1.5,0.0033793106631019765,0.00045583261410688945,-1.701787811876743,1.7172351348439387,1.0474684714423095,1.0471975511965976,-0.0013630491003606205,-0.00047302226535310296,0.06085351451985746,-0.06474542870754975,-0.002923478048995087,0.0008900268350075175
35.39,1.500608438115346,1.5,0.00337752424985802,0.00042928275795758045,-1.715660805027471,1.7307385384659457,1.0474547593353956,1.0471975511965976,-0.0013793714291705642,-0.0004665771274874042,0.06247054232811692,-0.0662571814901447,-0.0029482414919004395,0.00091279430168316
35.4,1.5006422039117144,1.5,0.003375635617351994,0.00040271986659954766,-1.7294819145854028,1.7441895873791502,1.047440886295055,1.0471975511965976,-0.001395235809080184,-0.0004597319434612636,0.064081765974549,-0.06776469383574003,-0.0029729157507524463,0.0009355038656189204
35.410000000000004,1.5006759503107905,1.5,0.0033736448234430202,0.00037614474428991233,-1.743250722431553,1.75758787469034,1.0474268568664389,1.0471975511965976,-0.0014106491075107641,-0.00045249504082259863,0.06568711457468095,-0.06926786926406085,-0.002997500079153108,0.0009581540666881655
35.42,1.5007096762912648,1.5,0.0033715519290708766,0.00034955819564606123,-1.7569668120255442,1.7709329951023371,1.0474126755265836,1.0471975511965976,-0.001425618079837358,-0.0004448746312480378,0.06728651718197419,-0.07076661157239147,-0.0030219937334248154,0.0009807434485893203
35.43,1.500743380832453,1.5,0.0033693569982542735,0.00032296102562141935,-1.7706297684182442,1.7842245449262835,1.0473983466855241,1.0471975511965976,-0.0014401493708748885,-0.00043687881193369847,0.06887990279470634,-0.0722608248417364,-0.003046395972632854,0.0010032705589411899
35.44,1.5007770629143262,1.5,0.003367060098089037,0.00029635403948121417,-1.7842391782643228,1.7974621220937936,1.0473838746873936,1.0471975511965976,-0.0014542495163610489,-0.00042851556698316915,0.07046720036294837,-0.07375041344295645,-0.003070706058607823,0.0010257339493778797
35.45,1.500810721517542,1.5,0.0033646612987461824,0.00026973804277822253,-1.7977946298347887,1.8106453261691844,1.0473692638115049,1.0471975511965976,-0.0014679249444354845,-0.00041979276879196953,0.07204833879569503,-0.07523528204289025,-0.00309492325596796,0.001048132175643515
35.46,1.5008443556234747,1.5,0.003362160673469906,0.00024311384132851482,-1.8112957130294336,1.8237737583615297,1.047354518273421,1.0471975511965976,-0.0014811819771145143,-0.0004107181794280837,0.07362324696805085,-0.07671533561045288,-0.0031190468321413913,0.0010704637976864306
35.47,1.500877964214247,1.5,0.0033595582985754746,0.000216482241187192,-1.8247420193892387,1.8368470215367485,1.0473396422260066,1.0471975511965976,-0.0014940268317610505,-0.0004012994520078423,0.07519185372857255,-0.07819047942272188,-0.0031430760573882824,0.0010927273797532082
35.480000000000004,1.5009115462727596,1.5,0.003356854253447029,0.0001898440486241006,-1.838133142108798,1.849864720229643,1.047324639760471,1.0471975511965976,-0.001506465622548974,-0.000391544132066919,0.07675408790661907,-0.07966061907099745,-0.003167010204822928,0.001114921490482055
35.49,1.5009451007827226,1.5,0.003354048620535286,0.00016320007009956118,-1.8514686760485564,1.8628264606558123,1.047309514907388,1.0471975511965976,-0.0015185043619218162,-0.00038145965892558663,0.07830987831990165,-0.08112566046684258,-0.003190848550435725,0.0011370447029962296
35.5,1.500978626728686,1.5,0.0033511414853551564,0.0001365511122400702,-1.8647482177471546,1.8757318507235885,1.0472942716377105,1.0471975511965976,-0.0015301489620447898,-0.0003710533670481254,0.07985915378200308,-0.08258550984810868,-0.0032145903731150864,0.0011590955949966645
35.51,1.50101212309607,1.5,0.003348132936483253,0.00010989798181401054,-1.8779713654335881,1.8885805000459144,1.047278913863762,1.0471975511965976,-0.001541405236250229,-0.00036033248739564993,0.08140184311006464,-0.08404007378493361,-0.0032382349546692425,0.001181072748854579
35.52,1.5010455888711962,1.5,0.0033450230655553284,8.324148570734577e-05,-1.8911377190394227,1.9013720199521444,1.0472634454402208,1.0471975511965976,-0.0015522789004755939,-0.00034930414877215425,0.08293787513247464,-0.08548925918572259,-0.0032617815798479826,0.0012029747517034396
35.53,1.5010790230413176,1.5,0.003341811967263601,5.658243089931876e-05,-1.9042468802108743,1.9141060234997438,1.0472478701650854,1.0471975511965976,-0.0015627755746939489,-0.00033797537916320465,0.08446717869667553,-0.08693297330310329,-0.003285229536364282,0.0012248001955307442
35.54,1.5011124245946492,1.5,0.003338499739353983,2.9921624438144008e-05,-1.9172984523208765,1.9267821254860926,1.047232191780627,1.0471975511965976,-0.0015729007843362868,-0.00032635310706698336,0.08598968267700521,-0.08837112373986566,-0.003308578114915839,0.0012465476772693033
35.550000000000004,1.5011457925203993,1.5,0.003335086482623244,3.2598734166894374e-06,-1.9302920404811326,1.939399942460089,1.0472164139743292,1.0471975511965976,-0.0015826599617054806,-0.00031444416281731463,0.0875053159825985,-0.08980361845487327,-0.0033318266092065545,0.001268215798888166
35.56,1.501179125808799,1.5,0.0033315723009160517,-2.3402015051837493e-05,-1.9432272515540487,1.951959092733699,1.0472005403798104,1.0471975511965976,-0.0015920584473814734,-0.00030225527989827716,0.0890140075653558,-0.09123036576895202,-0.003354974315967889,0.001289803167483196
35.57,1.5012124234511333,1.5,0.0033279573011219176,-5.0063233858204216e-05,-1.9561036941646301,1.9644591963936004,1.0471845745777353,1.0471975511965976,-0.001601101491617316,-0.0002897930962501056,0.09051568642795034,-0.09265127437076147,-0.0033780205349801216,0.0013113083953672105
35.58,1.501245684439771,1.5,0.003324241593172079,-7.672297592146814e-05,-1.9689209787123418,1.9768998753126112,1.0471685200967098,1.0471975511965976,-0.001609794255725805,-0.00027706415556601237,0.09201028163189832,-0.09406625332263545,-0.0034009645690935473,0.0013327301001597926
